"Plant_gen_sp","Site_ID","Name","Day","Month","Year","Round","Notes","Plot","Plant_genus","Plant_species","Flower_abundance"
"Andryala integrifolia","Bonares","Curro",29,5,2018,7,NA,5,"Andryala","integrifolia",5
"Andryala integrifolia","Urbanizaciones","Curro",18,5,2020,9,NA,6,"Andryala","integrifolia",2
"Andryala integrifolia","Esparragal","Curro",29,5,2018,7,NA,1,"Andryala","integrifolia",10
"Andryala integrifolia","Urbanizaciones","Curro",16,5,2019,8,NA,3,"Andryala","integrifolia",5
"Andryala integrifolia","La_cunya","Curro",29,5,2018,7,NA,3,"Andryala","integrifolia",3
"Andryala integrifolia","La_cunya","Curro",29,5,2018,7,NA,7,"Andryala","integrifolia",7
"Andryala integrifolia","Pino_del_cuervo","Curro",20,5,2020,9,NA,9,"Andryala","integrifolia",12
"Andryala integrifolia","La_rocina","Curro",30,5,2018,7,NA,1,"Andryala","integrifolia",5
"Andryala integrifolia","La_rocina","Curro",30,5,2018,7,NA,2,"Andryala","integrifolia",3
"Andryala integrifolia","La_rocina","Curro",30,5,2018,7,NA,8,"Andryala","integrifolia",25
"Andryala integrifolia","La_cunya","Curro",5,6,2018,8,NA,5,"Andryala","integrifolia",5
"Andryala integrifolia","La_cunya","Curro",5,6,2018,8,NA,9,"Andryala","integrifolia",9
"Andryala integrifolia","Bonares","Curro",4,5,2020,8,NA,2,"Andryala","integrifolia",6
"Andryala integrifolia","Villamanrique_sur","Curro",2,5,2019,7,NA,7,"Andryala","integrifolia",2
"Andryala integrifolia","Villamanrique_este","Curro",2,5,2019,7,NA,2,"Andryala","integrifolia",7
